Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Antigua and Barbuda,World,Consumer goods,Import,Import(US$ Mil),,,            311.66,            328.68,            400.82,            316.30,            313.57,            391.42,            212.81,            210.49,            184.93,            209.96,            252.75,,            340.26,            463.32,            382.22,,,,,            195.49,            174.87,,,,,,,,,,,
Antigua and Barbuda,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              1.75,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              1.23,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              3.66,,              2.05,              2.30,,              2.09,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,World,Transportation,Export,Export(US$ Mil),,,              1.38,              1.01,             27.75,             37.58,              3.43,              4.34,              3.37,              2.11,              3.86,              3.06,              2.67,,              3.23,,             14.03,,,,,              1.81,              1.69,,,,,,,,,,,
Antigua and Barbuda,Montserrat,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              1.00,,,,,,,,,,,,,,              1.95,,,,,,,,,,,
Antigua and Barbuda,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             42.00,             33.69,             27.00,             20.33,             20.52,             37.66,             19.66,             19.18,             13.49,             42.14,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             19.73,              8.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Bermuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              1.95,,,,              2.75,              2.16,,,,              8.12,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Grenada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,World,Raw materials,Import,Import(US$ Mil),,,             70.24,             62.57,             46.83,             33.70,             41.83,             44.29,             41.86,             41.18,             37.29,             35.52,             41.56,,             37.63,             32.10,             28.55,,,,,             24.17,             24.61,,,,,,,,,,,
Antigua and Barbuda,Suriname,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             15.31,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             13.02,             32.04,              6.80,              6.16,              6.81,              5.37,              2.42,              6.85,,,              4.13,,             20.17,,,,,              4.45,              1.04,,,,,,,,,,,
Antigua and Barbuda,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            102.12,,,            161.50,,,            166.32,            140.39,            267.19,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,World,Hides and Skins,Export,Export(US$ Mil),,,              0.08,              0.08,              0.23,              0.02,              0.03,              0.01,              0.01,              0.02,              0.03,              0.02,              0.00,,              0.02,,              0.04,,,,,              0.03,              0.01,,,,,,,,,,,
Antigua and Barbuda,...,...,Development,Trade Balance (current US$ Mil),,            -56.40,             39.81,            -96.59,             23.66,            119.93,            164.22,            103.07,             58.74,             78.04,            143.56,             72.70,            104.52,            -88.81,           -141.15,            -57.70,            105.41,            197.70,            144.59,            158.67,            174.11,            196.96,            169.11,            205.85,            180.81,            123.22,            156.89,            238.78,            272.52,,,,,
