Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Export,No. Of Export products,           4550.00,           4548.00,           4561.00,           4597.00,           4620.00,           4723.00,           4727.00,           4740.00,           4734.00,           4753.00,           4691.00,           4686.00,           4832.00,           4864.00,           4876.00,           4899.00,           4903.00,           4918.00,           4927.00,           4922.00,           4944.00,           4956.00,           4979.00,           5019.00,           5014.00,           5025.00,           5035.00,           5031.00,           5030.00,           5031.00,           5021.00,           5018.00,           5013.00,           4960.00
,...,...,Export,No. Of Export partners,            235.00,            236.00,            236.00,            235.00,            235.00,            235.00,            236.00,            236.00,            235.00,            237.00,            236.00,            236.00,            234.00,            234.00,            235.00,            233.00,            234.00,            234.00,            233.00,            233.00,            233.00,            234.00,            223.00,            222.00,            221.00,            222.00,            225.00,            225.00,            226.00,            221.00,            201.00,            204.00,            202.00,            196.00
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          33590.82,          31094.04,          26865.29,          22898.15,          18929.29
,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         420303.66,         337569.58,         338570.63,         387079.44,         354490.38,         298654.25,         311903.63,         340102.51,         334194.56,         319014.43,         303419.14,         250373.27,         185780.44,         213949.44,         190711.73,         172120.66,         146831.44,         127481.39,          96430.58,          75332.01,          68542.93,          75198.29,          58459.19,          51209.13,          57961.33,          56859.52,          53123.94,,,,,,          17496.66,          13172.51
,World,Intermediate goods,Export,Export(US$ Mil),        1400291.51,        1051328.74,        1075125.65,        1126246.16,        1046686.85,         954385.84,         988409.64,        1085608.46,        1076544.91,        1046205.88,        1039030.51,         828315.06,         625348.79,         801308.56,         690602.06,         574918.78,         476510.09,         424469.59,         331774.53,         276268.19,         257638.73,         277599.12,         241351.29,         243414.00,         262999.33,         248660.44,         250201.98,         201247.62,         173747.92,         135570.72,         108253.20,          98046.77,          95407.07,          67051.42
,World,Textiles and Clothing,Export,Export(US$ Mil),         423529.85,         386551.87,         383215.39,         390884.98,         373457.95,         364161.03,         387244.30,         406990.44,         392252.42,         360231.58,         358663.17,         302652.13,         249964.80,         283657.41,         271310.34,         240380.66,         205835.75,         185645.57,         162907.20,         143937.39,         137240.92,         143787.77,         124661.30,         121968.01,         132943.13,         122990.49,         121532.56,         114798.39,         100939.77,          68396.69,          40049.42,          33909.33,          33558.36,          23761.59
,World,Food Products,Export,Export(US$ Mil),         126595.04,         113737.63,         116530.03,         116136.88,         105123.67,          96806.76,          93050.07,          95074.21,          91617.97,          88193.41,          83305.63,          67258.91,          56047.12,          58608.84,          50556.04,          42797.55,          37454.83,          33329.51,          28504.25,          25341.42,          22836.14,          21739.93,          20212.65,          20142.15,          24341.25,          25473.28,          22858.24,          20385.09,          17750.87,          14076.81,           9882.53,           8844.15,           8076.15,           3169.40
,World,Consumer goods,Import,Import(US$ Mil),        1377444.03,        1107700.55,        1217599.23,        1250434.16,        1103288.43,         969468.47,        1020921.36,        1222948.88,        1201162.03,        1189961.00,        1107527.40,         869405.04,         680593.07,         831070.34,         673187.79,         588146.08,         514163.99,         454564.04,         380812.55,         334796.54,         320467.53,         332070.03,         251479.70,         232532.71,         284870.21,         285032.06,         269615.92,         224817.47,         191990.53,         127438.61,         105446.63,          95728.52,          83471.81,          54839.22
,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         304398.02,         237864.12,         239267.85,         244845.69,         234956.05,         207232.72,         212775.58,         231435.69,         228857.61,         234912.87,         237756.76,         203811.72,         154639.85,         196045.31,         162274.23,         140493.11,         121913.28,         109440.27,          84051.81,          70506.70,          61296.00,,,,,,,,,,,          24185.23,          21954.55,          16836.56
,World,Transportation,Export,Export(US$ Mil),         483474.40,         383271.25,         432550.19,         446903.31,         441779.47,         416776.25,         432652.12,         444332.06,         443667.64,         472502.10,         467747.77,         415476.93,         307665.55,         404245.10,         348505.95,         293200.46,         250899.56,         222975.97,         184766.97,         157818.73,         139773.96,         146870.09,         134695.31,         129805.47,         129844.29,         120505.47,         121359.36,         120146.90,         114465.44,         104218.06,          90906.71,          82397.61,          75691.12,          73591.35
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,        1277327.83,        1023149.63,        1043451.83,        1071800.13,         974668.34,         903585.82,         930800.10,         957567.22,         944415.84,         898255.93,         824030.92,         701023.14,         555482.78,         643445.71,         574722.24,         495832.23,         419878.43,         345550.40,         269391.09,         222066.15,         194865.05,         192529.09,         148548.97,         134020.43,         148150.61,         137687.76,         126272.54,         104160.98,          84592.49,          28225.41,          24544.69,          19036.97,,
,World,Raw materials,Import,Import(US$ Mil),        1304180.88,         917783.29,        1051788.86,        1059177.76,         883673.01,         696288.97,         740587.63,        1116648.71,        1161974.60,        1184948.02,        1152721.33,         846498.01,         610108.04,         874145.05,         606622.08,         517045.23,         426327.76,         331507.36,         244867.74,         202804.53,         205660.30,         221491.83,         159490.35,         141577.61,         188755.59,         188049.94,         171392.03,         147526.35,         138844.45,         133270.27,         123820.98,         120207.14,         105490.19,          84610.73
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         358186.85,         309443.45,         322642.54,         338232.31,         312750.44,         293172.75,         311528.97,         365120.76,         359440.95,         390111.99,         389891.03,         311571.50,         243838.24,         311906.83,         261938.92,         243705.19,         218242.84,         195412.75,         160094.84,         138964.33,         139986.96,         144041.94,         110170.15,          97752.69,         115934.34,         117684.31,         109438.34,          90121.14,          76156.49,          63004.26,          51281.32,          48117.96,          44609.04,          20170.72
,World,Hides and Skins,Export,Export(US$ Mil),          51075.10,          40947.97,          53662.00,          51840.01,          50148.49,          47971.04,          53585.45,          54267.66,          54421.95,          50058.95,          47679.35,          38389.41,          29348.94,          33948.69,          32033.59,          30316.82,          30050.93,          27747.49,          24183.25,          21253.56,          21484.21,          20979.96,          17667.28,          17582.75,          19578.89,          19121.02,          18848.88,          16999.03,          14454.42,           8346.47,           5343.68,           5564.91,           5526.05,           4133.10
,...,...,Development,Trade Balance (current US$ Mil),,         794078.09,         484433.06,         416625.11,         597114.80,         603133.21,         640336.24,         367123.20,         321251.55,         324293.93,         375831.77,         513207.18,         467164.11,         478362.46,         573048.26,         419580.88,         312114.61,         253733.30,         218823.89,         185444.19,         137844.55,         173778.20,         190456.73,         209171.18,          91012.32,          18384.71,          54698.20,         102167.32,          95632.94,          96073.47,          67669.10,          35576.15,          55534.89,          85926.36
,...,...,Tariff,No. Of Tariff Agreement,            975.00,           1025.00,            849.00,            963.00,           1143.00,           1205.00,           1165.00,           1126.00,           1101.00,           1204.00,           1128.00,            986.00,            974.00,           1112.00,           1007.00,            996.00,           1070.00,            939.00,           1015.00,            731.00,            809.00,            673.00,            674.00,            673.00,            702.00,            688.00,            235.00,            232.00,            609.00,            218.00,            404.00,            218.00,            219.00,            400.00
,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         495554.10,         387761.06,         340453.19,         348272.84,         315906.57,         280785.52,         285652.63,         304500.39,         299474.51,         267372.40,         254810.46,         233313.07,         174790.14,         211229.83,         204937.66,         185066.54,         159904.78,         140154.89,         108503.70,          92301.45,          78909.96,          85974.05,          63469.88,          55979.01,          65845.66,          67987.10,          65116.95,          53992.64,          47608.22,,,,,
,World,Wood,Export,Export(US$ Mil),         105190.83,          86871.50,          92044.03,          94334.44,          87959.12,          84841.02,          87399.25,          89906.45,          84974.05,          81101.27,          84378.20,          69898.86,          55868.78,          62766.81,          58644.08,          51314.33,          43908.67,          40090.67,          34073.39,          31376.97,          29387.58,          32394.62,          28562.99,          25601.43,          29180.29,          28872.56,          29127.27,          25350.02,          23252.68,          17698.05,          14416.83,          13433.59,          12804.32,           3381.97
,World,Mach and Elec,Export,Export(US$ Mil),        3127823.63,        2532659.35,        2437668.54,        2521073.73,        2283815.40,        2050765.48,        2107192.76,        2146120.32,        2091768.20,        1997522.24,        1926996.00,        1755494.22,        1362743.24,        1591390.71,        1492797.56,        1221326.00,        1062012.56,         997860.30,         741682.55,         647206.79,         588009.43,         673897.88,         540465.22,         481742.27,         511109.86,         496154.15,         488694.40,         395662.58,         321329.75,         249594.83,         215131.33,         189843.66,         176029.80,         135161.78
,...,...,Development,GDP (current US$ Mil),,,       26916892.99,       26352450.12,       24223795.43,       22653391.94,       21904440.89,       21996327.24,       21316510.68,       21065517.29,       19681477.56,       16990763.89,       14577855.78,       14148003.02,       12268135.76,       10960487.52,       10331001.35,        9675804.29,        8625237.73,        7845735.66,        7716567.26,        8293503.43,        7667166.58,        6865108.95,        7658763.57,        8003568.92,        8305660.53,        7308398.23,        6534578.56,        5842440.01,        5347297.43,        4735686.66,        4534148.28,        4353732.40
,World,Metals,Export,Export(US$ Mil),         516756.13,         350443.06,         365847.06,         381305.19,         341363.70,         305761.22,         340648.91,         373643.17,         344576.69,         349882.94,         354956.38,         289892.93,         213865.55,         330617.45,         280569.49,         223615.98,         169452.00,         140901.04,          97711.66,          80250.34,          74016.97,          81479.74,          70060.42,          72284.23,          76167.78,          70412.65,          76049.98,          57916.80,          52370.60,          43491.38,          37264.57,          35057.72,          37929.09,          31196.19
,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          22338.82,          20912.59,          18805.59,          12429.03
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),     4211968415.30,     3255395789.72,     2975565285.32,     2932508678.22,     2654417671.02,     2768296498.48,     2875715408.99,     3437893062.21,     2383689875.17,     2313474705.65,     3141865622.61,     2600536595.97,     1949211527.73,     2424628419.87,     1993351220.81,     1755227614.65,     1406252511.69,     1204510915.44,      955049080.73,      806726107.89,      696559998.39,      747706945.91,      583151188.59,      546811589.40,      632585348.55,      627507845.25,      333556472.26,      154245446.33,      162893636.30,      129230945.68,      145500338.56,      125839399.23,      147013124.67,      231279816.94
,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          28580.16,,,,
,World,Stone and Glass,Export,Export(US$ Mil),         275107.41,         260380.68,         230184.36,         231551.07,         247666.16,         246301.89,         244403.44,         281991.95,         291201.58,         259844.17,         217366.28,         151293.48,         117460.00,         119933.73,          95815.63,          81927.76,          62853.11,          59065.91,          49381.40,          36753.90,          33362.15,          34769.07,          32071.48,          39158.46,          35543.29,          33457.99,          29558.23,          24015.88,          19665.97,          15630.52,          12009.89,          11148.29,           9728.64,           6754.27
,World,Intermediate goods,Import,Import(US$ Mil),        1340701.32,        1006833.92,        1061856.93,        1154831.70,        1041476.11,         936590.87,         998097.56,        1061142.02,        1082139.31,        1010335.79,        1021422.14,         831269.62,         631220.70,         776627.99,         673063.68,         571758.35,         513278.53,         462235.06,         370353.08,         313325.12,         293363.63,         311593.82,         262834.25,         247816.07,         309001.03,         309584.15,         304698.95,         246684.30,         213660.86,         160196.28,         129460.18,         120273.16,         114206.81,          79330.29
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,        1122462.10,         915653.38,         869991.20,         914788.13,         832438.55,         770006.72,         792185.78,         779662.24,         734734.48,         719307.60,         671677.78,         608592.52,         483888.44,         602875.35,         591018.54,         561802.98,         492411.50,         437857.27,         371361.21,         347567.25,         329059.25,         369564.96,         320837.63,         295721.49,         285311.48,         266289.12,         267062.86,         246852.09,         215109.75,         160628.94,         142415.73,         139618.13,         141223.20,         114416.88
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         509418.35,         416525.21,         436401.21,         466519.75,         430758.27,         383653.48,         405153.30,         434882.48,         425854.74,         415684.09,         402795.79,         346252.89,         275808.45,         332347.49,         295417.75,         271343.67,         242486.44,         227545.08,         199940.00,         185989.53,         188727.63,         207198.60,         187212.71,         181342.58,         212826.80,         216390.55,         197436.72,         160477.16,         136460.35,         117871.35,         106856.71,         101595.57,          92250.82,          64850.66
,World,All Products,Import,Imports (in US$ Mil),        6748251.41,        5285288.02,        5542021.79,        5772398.53,        5129544.33,        4476635.62,        4659540.30,        5436212.81,        5475166.91,        5313856.72,        5095750.67,        4155946.31,        3159072.25,        3907322.13,        3271877.54,        2858241.53,        2479398.05,        2159073.24,        1724977.58,        1450702.47,        1359217.29,        1437586.78,        1143082.94,        1040260.04,        1274712.00,        1278610.87,        1185760.61,         972617.01,         830829.91,         629138.98,         533180.98,         497998.57,         435209.31,         292469.94
,World,Capital goods,Import,Import(US$ Mil),        2682187.44,        2217974.20,        2167017.99,        2266034.76,        2054709.79,        1841369.42,        1869029.37,        1924731.79,        1898668.58,        1829064.80,        1722040.26,        1555726.57,        1207040.66,        1379763.41,        1290550.19,        1094543.18,         950380.16,         895612.68,         675758.37,         584107.23,         526171.60,         559290.19,         435257.66,         391390.00,         461468.48,         460160.00,         415358.97,         328389.62,         261497.56,         191244.47,         154104.28,         139246.67,         113568.38,          61743.29
